x,y
-2.7380195275716344,-4.502628871465939
-2.7379052329012303,-4.501691767253349
-2.737848281885196,-4.500862695760209
-2.7377873952258054,-4.499807675916238
-2.7377277730971574,-4.498752562325079
-2.737670331769071,-4.497697453259093
-2.737615183636871,-4.4966423339275385
-2.7375623216085696,-4.4955871932994
-2.7375117395178523,-4.494532021685783
-2.7374634320891986,-4.493476810965919
-2.7374173948776868,-4.492421554712433
-2.737373624204769,-4.49136624814492
-2.737332117088108,-4.490310887992144
-2.7372928711665625,-4.489255472316665
-2.737255884622741,-4.488200000332513
-2.737221156105928,-4.487144472232059
-2.7371886846579785,-4.486088889029695
-2.7371584696442293,-4.485033252425024
-2.7371305106908106,-4.483977564685525
-2.737104807629143,-4.482921828547334
-2.7370813604478523,-4.481866047132149
-2.737060169251943,-4.480810223878121
-2.737041234228807,-4.47975436248267
-2.7370245556204296,-4.478698466855322
-2.7370101337011015,-4.477642541078929
-2.736997967575346,-4.476586589377815
-2.736988058703662,-4.475530616091488
-2.7369804073662602,-4.474474625653668
-2.736975013827994,-4.473418622574657
-2.736971878334008,-4.472362611427046
-2.7369710011067236,-4.471306596834052
-2.7369723823441348,-4.470250583460003
-2.736976022219089,-4.46919457600258
-2.736981920879302,-4.468138579186492
-2.736990078447892,-4.467082597758342
-2.737000495024272,-4.46602663648243
-2.737001218686815,-4.466005550297253
-2.7370112381570246,-4.464970808249271
-2.737012539255628,-4.4649495951160505
-2.7370274131291383,-4.463914908441328
-2.737044859583747,-4.462859031122151
-2.7370646179606655,-4.461803186410224
-2.737086675469795,-4.460747390341712
-2.7371110227441853,-4.459691647446829
-2.737137654365141,-4.458635962019354
-2.7371665650519654,-4.457580338428426
-2.737167962210935,-4.457559148307807
-2.7372013977268703,-4.456524886388316
-2.737237468054833,-4.455469487231511
-2.7372758386578377,-4.454414159943419
-2.737316498228101,-4.453358920559711
-2.737359440295431,-4.452303773676027
-2.737404659678136,-4.451248723644024
-2.7374521521979447,-4.450193774883108
-2.7375019144776487,-4.449138931883255
-2.737553943779213,-4.448084199193857
-2.7376082378735185,-4.44702958141366
-2.7376647949356543,-4.445975083182291
-2.7377236134608625,-4.444920709173164
-2.7377846921971547,-4.443866464087559
-2.737847332673449,-4.442812348902531
-2.737907320690436,-4.441758068901329
-2.7379077563032097,-4.441736972654477
-2.7379637502528262,-4.440703637914889
-2.7380219148500036,-4.4396492339778915
-2.7380824750524084,-4.438594953363073
-2.73814540041205,-4.43754081175407
-2.738210668794945,-4.436486813435128
-2.73821247640893,-4.436465710904323
-2.7382817076795103,-4.43543319769876
-2.73835425342407,-4.434379677657871
-2.738429123201357,-4.433326310726004
-2.7385062996086593,-4.432273112328878
-2.738585771547555,-4.431220086656222
-2.7386668298648775,-4.430167217264096
-2.738745961659078,-4.429114174302334
-2.7387479183928782,-4.429093095792431
-2.7388298696309605,-4.428061507779161
-2.7389101816158408,-4.427008565649782
-2.7389886779484107,-4.425955477926774
-2.739069617825851,-4.4249025736367935
-2.739153003080932,-4.423849858860248
-2.7392387950859955,-4.422797336697037
-2.7393269625687684,-4.42174501042313
-2.7394167827450286,-4.420692847901144
-2.739504031230833,-4.419640462017536
-2.7395894264247183,-4.418587918734769
-2.739676900346317,-4.417535469619289
-2.7397646790397316,-4.416483137551449
-2.739854866239951,-4.415431003153
-2.7399467551435315,-4.414379028357689
-2.7400368039153746,-4.413326879934071
-2.7401285430260156,-4.4122748850716365
-2.740218125164332,-4.411222619832025
-2.7403076691371235,-4.410170365728962
-2.740308611343467,-4.410149292325985
-2.7403940106788194,-4.409118024471839
-2.740477947889593,-4.4080653791855795
