x,y
-2.738542929071819,-4.502435271363426
-2.738943371346664,-4.501303877481948
-2.7389761984836163,-4.501359056068025
-2.739449079076746,-4.500425029184081
-2.7399326921786593,-4.499483363923832
-2.740412227397618,-4.498540734913193
-2.740421180645182,-4.498521417524905
-2.740885394718614,-4.4975957339515205
-2.741356640905174,-4.496650115930752
-2.741364747067142,-4.496630174594615
-2.74182287941878,-4.495701585477689
-2.7422874020777463,-4.494753139182107
-2.7427497925141497,-4.493803268339108
-2.7432100671872366,-4.492852411687348
-2.743669139346636,-4.491901192224254
-2.744129657834479,-4.49095075060772
-2.7445880630389166,-4.489999364023817
-2.7450443315951762,-4.489046953576171
-2.7450528720106777,-4.489028709072899
-2.745509157197544,-4.488077840616731
-2.745963546056788,-4.4871245356076
-2.746415820691871,-4.48617022997941
-2.7468659914527174,-4.485214938368777
-2.747314067779021,-4.484258669473091
-2.747760056943256,-4.483301430931781
-2.7482039644030247,-4.482343229718382
-2.7486457941540388,-4.481384072285847
-2.749085549017969,-4.48042396467358
-2.749523230874337,-4.479462912592266
-2.7499588408471274,-4.4785009214914675
-2.7503923794548975,-4.477537996613495
-2.7508238467315094,-4.476574143036355
-2.7512532423231995,-4.475609365707979
-2.7516805655666277,-4.4746436694735126
-2.7521058155516096,-4.473677059097059
-2.752528991171543,-4.472709539279009
-2.752950091163931,-4.4717411146698485
-2.7533691141429513,-4.470771789881156
-2.753786058625626,-4.469801569494366
-2.754200923052847,-4.468830458067737
-2.754613705806272,-4.467858460141911
-2.755024405221897,-4.46688558024432
-2.7554330196009613,-4.4659118228927035
-2.755439355165439,-4.465891721467013
-2.7554382569050255,-4.465891277804915
-2.7558330780623947,-4.464934548652414
-2.7562331489764063,-4.463957247398427
-2.7566310720482874,-4.462979059001553
-2.7570268549645816,-4.462000004838659
-2.7574205047935467,-4.461020093158572
-2.7578052208382546,-4.460059482991974
-2.7581950668538417,-4.459078109690459
-2.7585826563469715,-4.458095819749813
-2.758968016857689,-4.457112645793803
-2.7593511715034316,-4.4561286049098765
-2.7597321386114047,-4.45514371128923
-2.760110932555181,-4.454157977082805
-2.76011694265939,-4.454137769776982
-2.7604842127891103,-4.45317016947924
-2.7608562275654123,-4.452181853133022
-2.7612260717273247,-4.451192711062084
-2.7615937535333126,-4.450202764313651
-2.7619592801442203,-4.449212021084464
-2.762322657022804,-4.448220488536188
-2.7626838882001548,-4.447228173258512
-2.762689355799782,-4.447207782115663
-2.7630394965703697,-4.446233840619827
-2.7633939842575805,-4.4452390989068915
-2.763746304083958,-4.444243577200632
-2.7637516576147148,-4.4442231436198
-2.7640930151209377,-4.443246095518989
-2.764438537945372,-4.442248200295278
-2.764781879251387,-4.441249543145163
-2.765123045707301,-4.440250143633027
-2.765128152924239,-4.440229640918611
-2.7654592086913268,-4.439248854796389
-2.7657987215542064,-4.4382489062871056
-2.7661360078940636,-4.437248193674559
-2.766471040624477,-4.436246725284479
-2.7668038397981074,-4.435244513722125
-2.767134421518898,-4.4342415697098865
-2.767462798457277,-4.433237902701576
-2.767788980503138,-4.432233521150396
-2.768112975302469,-4.431228432712019
-2.76843478869351,-4.430222644407138
-2.7684393954657485,-4.430202036453452
-2.768438328054186,-4.430201709494063
-2.7687478764080433,-4.429214132699864
-2.7690608058600588,-4.428205543984954
-2.7693715093614477,-4.4271962573090695
-2.7696799983145195,-4.4261862938750465
-2.7696844208024123,-4.42616563674903
-2.769982810367109,-4.425174626379944
-2.7702843777202513,-4.4241625805817995
-2.7705837265980318,-4.423149867225834
-2.7708808657305704,-4.422136505965773
-2.7708850309463737,-4.422115778462451
-2.77088398446309,-4.422115480010765
-2.771169268953601,-4.421120639714828
-2.771457430523759,-4.420104693629814
-2.771743345940637,-4.419088103975909
-2.772027027919254,-4.418070891755759
-2.7723084865312972,-4.417053064843788
-2.7725883973968357,-4.4160348538047
-2.772592625548847,-4.416014187651873
-2.7728669217558024,-4.415016285740387
-2.7731438633954797,-4.413997230745532
-2.773418522627328,-4.412977547881903
-2.773690918105587,-4.4119572596639065
-2.7739610645655355,-4.41093637543589
-2.7742289736587713,-4.409914903305293
-2.7744946545018636,-4.40889285064887
-2.774758114165884,-4.407870224275845
-2.7750193580761646,-4.40684703054601
-2.775278390336254,-4.405823275463499
-2.7755352139899605,-4.404798964751576
-2.7757898312330016,-4.403774103912207
-2.776042243583713,-4.402748698273429
-2.776292452020547,-4.401722753026936
-2.7765404570926573,-4.400696273257851
-2.7767862590087367,-4.399669263968266
-2.7770298577082677,-4.398641730095823
-2.777271252918604,-4.397613676528341
-2.777274023078605,-4.397592689716261
-2.777506772874151,-4.396584268385186
-2.777509688278301,-4.39656330309689
-2.7775086496268684,-4.396563071042487
-2.7777346333407675,-4.395553136216197
-2.777962189538534,-4.394521921934545
-2.778187462793628,-4.393490197739289
-2.7784104675775754,-4.392457983929335
