x,y
-2.7495218983257494,-3.7980559356768713
-2.7494440699017018,-3.798120441735875
-2.749341617937996,-3.79705912931061
-2.7492377908626735,-3.7959996649441012
-2.7491346414221143,-3.7949418723899693
-2.7491330023104608,-3.7949151133636834
-2.7490365298466437,-3.793880525986938
-2.7489402051784433,-3.7928253235142164
-2.748843081235457,-3.7917709224219136
-2.7487472591682662,-3.79071694782406
-2.7487485326460868,-3.790693925872479
-2.7486554545652195,-3.789661895222256
-2.7485638357332505,-3.7886086841582363
-2.748473775332811,-3.787555564863033
-2.7483812883981567,-3.786502843043174
-2.7483790891882793,-3.786481254068805
-2.7482841153626074,-3.785450340800495
-2.748189540691249,-3.7843981827355933
-2.7480933227184026,-3.7833462496154153
-2.7479995632407124,-3.7822941562117816
-2.7479075132830415,-3.7812419680101343
-2.7478129870269172,-3.7801900362128804
-2.747715990226406,-3.7791383588725447
-2.747616567504115,-3.77808693207404
-2.747515474700433,-3.7770357076818755
-2.7474169147299756,-3.7759842539145825
-2.74732087154804,-3.7749325758825654
-2.7472265853069335,-3.773880752464258
-2.747130527428315,-3.7728290960577824
-2.7470368967115144,-3.7717772245056755
-2.7469456978059057,-3.770725141906238
-2.74685689505456,-3.769672856662956
-2.746770459730336,-3.7686203763572137
-2.7466863688623167,-3.7675677079330745
-2.746604604120434,-3.7665148578383727
-2.746524453246377,-3.765461914786379
-2.7464423938311127,-3.76440909565366
-2.7464415215146425,-3.7643880133577734
-2.7463603862553536,-3.7633563612801377
-2.746279981512416,-3.7623034327782365
-2.7462817616761597,-3.762282247778013
-2.746203062027741,-3.7612504264425803
-2.746125195320376,-3.7601972966890838
-2.746045523606125,-3.7591442865104487
-2.7460450999122674,-3.75912309365977
-2.745971347241991,-3.7580909055485794
-2.745899215221653,-3.757037354093407
-2.74582876583675,-3.755983697849049
-2.745755769651126,-3.7549302115757275
-2.745680245553067,-3.7538769011472906
-2.7456813921751486,-3.753855773263565
-2.7456814981064124,-3.7538557864517643
-2.7456100481570265,-3.752823467741553
-2.745540336349928,-3.7517697575881668
-2.745473081741167,-3.750715876721409
-2.7454075335889003,-3.7496619041748183
