x,y
-2.737887768687815,-4.502358973621928
-2.7376466717763726,-4.501149743605001
-2.7373812112145983,-4.500149791207466
-2.73711151421924,-4.49912823808135
-2.7368446932430825,-4.498106114390751
-2.7365802577849916,-4.497083446673775
-2.7363181644654495,-4.496060233647158
-2.7360583819821613,-4.495036478390387
-2.7358008860870937,-4.494012183894911
-2.735545658051372,-4.492987353045207
-2.735292683468533,-4.491961988773395
-2.735041951307219,-4.490936094150633
-2.7347934531651967,-4.4899096724297705
-2.7345471826850254,-4.488882727057929
-2.73430313509827,-4.487855261671579
-2.7340613068711033,-4.486827280082163
-2.7338216954293517,-4.4857987862572966
-2.7335842989454826,-4.484769784300646
-2.7333491161736716,-4.483740278432281
-2.733116146322097,-4.482710272970499
-2.7328853889539744,-4.481679772315579
-2.732656843910756,-4.480648780935622
-2.7324305112524123,-4.479617303354435
-2.7322063912108674,-4.478585344141308
-2.731984484153578,-4.4775529079025
-2.731764790554943,-4.476519999274206
-2.7315473109737587,-4.4754866229168115
-2.7313320460353725,-4.474452783510211
-2.731118996417473,-4.473418485750046
-2.730908162838734,-4.472383734344681
-2.7306995460496806,-4.471348534012787
-2.7304931468253115,-4.470312889481436
-2.730288965959109,-4.469276805484588
-2.730087004258148,-4.468240286761905
-2.729887262539093,-4.4672033380578196
-2.7296897416248966,-4.466165964120815
-2.7294944423420766,-4.465128169702866
-2.7293013655184555,-4.464089959558992
-2.7291105119812804,-4.4630513384469355
-2.7289218825556585,-4.462012311126895
-2.7287354780632445,-4.460972882361326
-2.728551299321147,-4.459933056914792
-2.7283693471410055,-4.45889283955384
-2.7281896223282227,-4.4578522350469125
-2.728012125681312,-4.4568112481642705
-2.727836857991355,-4.45576988367794
-2.72766382004154,-4.4547281463616635
-2.7274930126067805,-4.453686040990862
-2.7273244364533844,-4.452643572342598
-2.7271580923387857,-4.451600745195556
-2.7269939810113115,-4.450557564330006
-2.7268321032099907,-4.449514034527786
-2.726672459664389,-4.448470160572278
-2.726515051094474,-4.447425947248387
-2.7263598782104994,-4.446381399342518
-2.726206941712908,-4.445336521642557
-2.7260562422922505,-4.444291318937849
-2.725907780629117,-4.443245796019179
-2.72576155739408,-4.4421999576787465
-2.725617573247646,-4.441153808710151
-2.7254758288402128,-4.440107353908365
-2.725336324812038,-4.439060598069717
-2.7251990617932083,-4.438013545991866
-2.725064040403615,-4.4369662024737835
-2.724931261252934,-4.43591857231573
-2.7248007249406085,-4.434870660319233
-2.724672432055832,-4.433822471287066
-2.7245463831775374,-4.432774010023227
-2.7244225788743854,-4.4317252813329135
-2.724301019704756,-4.430676290022503
-2.724181706216738,-4.42962704089953
-2.7240646389481253,-4.428577538772664
-2.7239498184264064,-4.427527788451687
-2.7238372451687636,-4.426477794747471
-2.7237269196820644,-4.425427562471954
-2.7236188424628596,-4.424377096438125
-2.723513013997379,-4.423326401459988
-2.723409434761525,-4.422275482352554
-2.7233081052208754,-4.421224343931809
-2.723209025830675,-4.420172991014694
-2.723112197035835,-4.4191214284190865
-2.7230176192709306,-4.418069660963773
-2.7229252929601993,-4.417017693468424
-2.7228352185175373,-4.415965530753584
-2.7227473963464983,-4.414913177640633
-2.722661826840292,-4.4138606389517765
-2.7225785103817803,-4.412807919510015
-2.72249744734348,-4.411755024139127
-2.7224186380875572,-4.410701957663641
-2.7223420829658247,-4.409648724908822
-2.722267782319746,-4.408595330700635
-2.7221957364804292,-4.407541779865737
-2.7221259457686267,-4.406488077231444
-2.722058410494735,-4.405434227625715
-2.7219931309587944,-4.404380235877126
-2.7219301074504836,-4.4033261068148475
-2.7218693402491234,-4.402271845268622
-2.7218108296236734,-4.401217456068746
-2.721754575832731,-4.4001629440460395
-2.721700579124532,-4.399108314031831
-2.721648839736947,-4.398053570857926
-2.721599357897483,-4.396998719356598
-2.721552133823282,-4.395943764360552
-2.721507167721121,-4.394888710702909
-2.721464459787408,-4.393833563217184
-2.721424010208186,-4.392778326737261
-2.7213858191591305,-4.391723006097373
-2.721349886805548,-4.390667606132073
-2.721316213302377,-4.389612131676221
-2.721284798794186,-4.3885565875649535
-2.721255643415176,-4.3875009786336685
-2.7212287472891767,-4.386445309717993
-2.7212041105296483,-4.385389585653769
-2.7211817332396815,-4.38433381127703
-2.721161615511997,-4.383277991423974
-2.7211437574289437,-4.382222130930943
-2.721128159062501,-4.381166234634404
-2.7211148204742788,-4.38011030737092
-2.7211037405244816,-4.379054353976948
-2.721094920439321,-4.377998379289055
-2.7210883602461022,-4.376942388143929
-2.721084059963262,-4.375886385378276
-2.721082019601005,-4.374830375828803
-2.7210822391615377,-4.373774364332201
-2.7210847186392613,-4.372718355725136
