robot_id,episodes,success_rate_%,collision_rate_%,timeout_rate_%,avg_steps,avg_time_s,avg_mean_distance,avg_min_distance
0,30,0.00,100.00,0.00,1979.9,175.10,0.5510,-0.0000
1,25,0.00,100.00,0.00,2368.8,209.53,0.3877,-0.0000
2,29,0.00,100.00,0.00,2002.7,177.34,0.3852,-0.0000
