robot_id,episodes,success_rate_%,collision_rate_%,timeout_rate_%,avg_steps,avg_time_s,avg_mean_distance,avg_min_distance
0,60000,0.00,100.00,0.00,1.0,0.06,-0.7010,-0.7010
1,56,0.00,100.00,0.00,1066.2,66.09,0.1739,-0.7008
2,60000,0.00,100.00,0.00,1.0,0.06,-0.7010,-0.7010
