x,y
-4.261556966551303,-4.498910813093081
-4.261078976305992,-4.497827560254967
-4.2610610259914425,-4.497862852482634
-4.261062217420999,-4.49786103962212
-4.260633177594784,-4.496899425483543
-4.260202493307048,-4.495934269223997
-4.260193220165927,-4.495914775165276
-4.260193879444926,-4.495913821506882
-4.259773325855402,-4.494967601191993
-4.259346872110711,-4.494001080157392
-4.258921553973198,-4.493034140992462
-4.258494942134869,-4.492067840311362
-4.2580705123123455,-4.491100636194487
-4.2580622895113995,-4.491081409347022
-4.258063035459641,-4.491080937051623
-4.2580636610391815,-4.491080560596894
-4.2576511835170265,-4.490131247062621
-4.257233023954911,-4.489161466411734
-4.256817057588296,-4.488190748976639
-4.256402563383747,-4.487219441199128
-4.256394458342994,-4.487200034584092
-4.25597852880337,-4.486237115867738
-4.255970498340024,-4.486217953616436
-4.255555057033776,-4.48525629734536
-4.255547093754964,-4.485237064218419
-4.255131601381596,-4.484275481580269
-4.25512368026195,-4.484256200019123
-4.254708098548006,-4.483294664439808
-4.254290904573403,-4.482324548455568
-4.25387202304566,-4.481355144517368
-4.253455332064903,-4.480384801180115
-4.253040847324991,-4.479413516480809
-4.253033132429652,-4.479394194015069
-4.252625829516043,-4.47844277855365
-4.25262225399718,-4.478432206579427
-4.2526220578453655,-4.478432301032497
-4.252212218543933,-4.477481966986823
-4.251792418710515,-4.4765129805285095
-4.251784058645872,-4.476493802272375
-4.251783844771546,-4.476493897590028
-4.251370161364991,-4.475545085246876
-4.250950725463718,-4.474575931095182
-4.250533514582255,-4.47360580783488
-4.2505256648289516,-4.473586475615695
-4.250115722459668,-4.4726361947660624
-4.250115729950629,-4.472635833250139
-4.250115526138041,-4.472635950217989
-4.250115322575808,-4.472636066419975
-4.249699397739588,-4.47168819568925
-4.249277669629042,-4.470720044484643
-4.24885816250421,-4.4697509179350785
-4.248850266844493,-4.469731576543533
-4.248438072381304,-4.468782273778533
-4.248015786960526,-4.467814368065885
-4.248008268812227,-4.4677946970738365
-4.247598565477846,-4.466844288173356
-4.247591255799582,-4.466824525817314
-4.247186163254816,-4.465872137593452
-4.247179024135334,-4.4658522968236705
-4.246778516349953,-4.4648979685098995
-4.246372164905231,-4.463923175179472
-4.24596608481062,-4.462948357464479
-4.245562187657506,-4.461972633496471
-4.245160474701035,-4.460996008546762
-4.2447605811512386,-4.460018566247369
-4.24475311485104,-4.459998973851363
-4.244753311241092,-4.45999893544222
-4.244356921428537,-4.459042923102373
-4.243955085193618,-4.458066356184026
-4.243554787701241,-4.457089169534434
-4.243152108804733,-4.456112955771283
-4.242747726844392,-4.455137443251909
-4.242345588692063,-4.454161001846365
-4.241945054712126,-4.453183912991003
-4.241542837693381,-4.452207508231333
-4.241535713398436,-4.452187693295707
-4.241145720955671,-4.4512290542076745
-4.241140608738351,-4.4512157191410715
-4.240750827405604,-4.450256854117207
-4.24035510883506,-4.449277799810201
-4.23995703104564,-4.448299687513346
-4.239949618454713,-4.448279998574604
-4.239949860078113,-4.4482799141857905
-4.239561386491047,-4.447320612495617
-4.239163527797353,-4.446342419143686
-4.238767307622209,-4.445363544702015
-4.238369495031239,-4.444385328698288
-4.2383615395750684,-4.444365951028121
-4.237970754815875,-4.4434076290711575
-4.2375704052655205,-4.442430455659015
-4.237171685749879,-4.4414526015004
-4.2367713623617185,-4.440475412562826
-4.236764072719575,-4.4404556795663055
-4.236376029768789,-4.439496238802393
-4.235982848410915,-4.438516151350245
-4.235591918397175,-4.437535152571928
-4.235584619355767,-4.437515677643968
-4.235198899704113,-4.436548871050496
-4.2348101553895345,-4.435567006954289
-4.234803014901212,-4.4355474805305075
-4.2344137864660825,-4.434566012504854
-4.234407111958906,-4.43454605463522
-4.234026236714546,-4.433581454871232
-4.233636149561742,-4.4326001394024255
-4.233244403205346,-4.4316194818397125
-4.23285495261751,-4.430637908392604
-4.232467798146263,-4.429655425462416
-4.232082250636165,-4.428672324529149
-4.231694350414564,-4.427690144489759
-4.231304768891796,-4.4267086335106915
-4.231297068563775,-4.426689189620125
-4.2309129257152005,-4.425722009640079
-4.230906082384101,-4.4257020975474015
-4.230528639454365,-4.424738434371858
-4.230146250074187,-4.42375408077178
-4.230139802464805,-4.423733996971628
-4.230139913609468,-4.4237339712782315
-4.229766490849256,-4.422768771389476
-4.22976031507329,-4.422750759226658
-4.229387232023248,-4.421785404709753
-4.229008981740126,-4.420799368995065
-4.228631063301721,-4.419813296490731
-4.228623850125802,-4.419793662653159
-4.22825202484622,-4.418824409282674
-4.228244901855567,-4.418804847973434
-4.227873450661923,-4.417836419057175
-4.227867068268896,-4.417816319620405
-4.22750019896386,-4.416848571909936
-4.2274935148369215,-4.416828627075537
-4.227119576875581,-4.415841222319847
-4.226745917416581,-4.4148535320747495
-4.226373876117461,-4.413865232284393
-4.226000169616999,-4.412877560048438
-4.2259928765591495,-4.412857947274552
-4.2256256237615855,-4.411890376904259
-4.225248581978395,-4.410903970392716
-4.224869901100265,-4.409918194604468
-4.224493551416774,-4.408931524272921
-4.224119528514303,-4.4079439677843215
-4.223747791964824,-4.406955547314378
-4.2233783093826105,-4.405966281465886
-4.223372252257333,-4.405946100547147
-4.22301356819474,-4.404975236660799
-4.222645915210376,-4.403985297238854
-4.2222805075732905,-4.402994514886046
-4.222273662626092,-4.402975001708299
-4.221914476696219,-4.402004411645559
-4.221907152506395,-4.401984707635834
-4.221543031175582,-4.401015937864638
-4.22153617017266,-4.4009960998684665
-4.221172500564433,-4.400027160196908
-4.220804290154124,-4.399037411994704
-4.220438386374836,-4.398046799155635
-4.220074754748309,-4.397055352743029
-4.219712707876826,-4.3960633497204205
-4.219706439357957,-4.396043268580858
-4.219351877607627,-4.395070966815539
-4.219345711907199,-4.395050806586055
-4.218995892231023,-4.3940767817511635
-4.218996247667189,-4.394076304437843
-4.218648853359318,-4.39310142829984
-4.218297111450379,-4.3921057178403515
-4.217947602768968,-4.391109210115621
-4.217941320996918,-4.391089393428447
-4.217942247118612,-4.391089071585723
-4.21760112606889,-4.390111964916614
-4.217594759404689,-4.39009230925747
-4.217253022247075,-4.389115438060968
-4.216901937232358,-4.388119490210046
-4.216548472386759,-4.3871243729028
-4.2161926850241835,-4.386130084755048
-4.2158346161482765,-4.385136617452905
-4.215474298832371,-4.384143964851607
-4.215111759868637,-4.383152122819085
-4.214747693988137,-4.3821608764221995
-4.214386062528153,-4.381168732775893
-4.214026843087582,-4.380175707811825
-4.213669980587138,-4.37918182943483
-4.213314772896741,-4.378187365119199
-4.212957866546954,-4.3771935049125625
-4.21260258533041,-4.376199066143585
-4.212595412902597,-4.376179299367305
-4.212243016142394,-4.375205969196791
-4.211885572813112,-4.374212303310645
-4.211526456286715,-4.3732192304819355
-4.211526516604061,-4.373218866658884
-4.211526367286687,-4.373218964345253
-4.2111743349181125,-4.3722456137598495
-4.211167455990739,-4.372225788622384
-4.210815553398252,-4.371252240886075
-4.210808787309581,-4.371232413387718
-4.210456972294254,-4.370258860773386
-4.210100707499903,-4.369264745435913
-4.209746678303206,-4.368269823637238
-4.2097409776513555,-4.36824949135996
-4.209398122596845,-4.367272984559969
-4.209391799927298,-4.367253195371477
-4.2093920633011574,-4.367253116000809
-4.209047055659973,-4.3662773331691795
-4.208697718696071,-4.365280757143833
-4.208691376156976,-4.365260754292458
-4.208347833084327,-4.364284519028106
-4.208341722771076,-4.36426437292361
-4.2083415381863265,-4.364264436471173
-4.207996220729244,-4.363288730745268
-4.207646633960775,-4.362292243890865
-4.207299324185555,-4.361294953205841
-4.20729294409142,-4.361275011863873
-4.20695214579749,-4.360297719827106
-4.2069457856172265,-4.360277912137828
-4.206946269967782,-4.360277659657167
-4.206605380319427,-4.359300487726217
-4.206598950417287,-4.359280672855438
-4.206258119156384,-4.358303334032555
-4.2059130550521715,-4.357305274740974
-4.205569550743889,-4.356306694047133
-4.205223606914584,-4.355308952339594
-4.204875919977617,-4.35431181548072
-4.2045298540424065,-4.353314121033898
-4.204522870057594,-4.353294290920543
-4.204179496562105,-4.352317732757574
-4.204172695605846,-4.352297914980331
-4.20382950726431,-4.351321314853731
-4.203823556708909,-4.351301089965471
-4.203823517900282,-4.351301109146838
-4.2034829425752775,-4.350323691814988
-4.20347639055283,-4.3503037313277595
-4.2034764362231085,-4.350303715782713
-4.20313303110846,-4.34932742305125
-4.202781012712512,-4.34833179665164
-4.202774844614798,-4.348311641930138
-4.202434140487062,-4.347334389185643
-4.2020893128837145,-4.346336247301201
-4.20174608958793,-4.3453375614842225
-4.201739347825998,-4.3453176356685335
-4.201398674538958,-4.344340156780272
-4.201053480583488,-4.343342072983717
-4.2007085991423745,-4.342343967764635
-4.200365985737042,-4.3413450801709415
-4.2003603835871,-4.341324745070929
-4.200361132899596,-4.341324505784012
-4.200030830487154,-4.3403437198957535
-4.199691485722234,-4.339343719234859
-4.199684467567374,-4.339323881672896
-4.199684036055241,-4.339324035006643
-4.199683920461079,-4.339324007557588
-4.199345099684558,-4.338346141087225
-4.199001534983001,-4.3373475873749
-4.198995237981468,-4.337327507345031
-4.198658111676091,-4.336348979557324
-4.198650895921194,-4.336329209534101
-4.198309846967667,-4.335351857117173
-4.198303630244829,-4.335331738805168
-4.19796663725064,-4.334353173242972
-4.197621297167027,-4.333355219580477
-4.197278293895081,-4.332356450117233
-4.196937631611101,-4.331356881166613
