x,y
-4.262045114595494,-4.498130588802811
-4.262151427883373,-4.497182009313978
-4.2621518712872986,-4.497154580501683
-4.26225927478546,-4.4961201150548735
-4.262365769028092,-4.495065421024259
-4.262469938441655,-4.49401127540596
-4.26257179940463,-4.492957544323763
-4.262671363568071,-4.491904111309553
-4.262769216387022,-4.490850878878048
-4.2628677211588215,-4.489798156165809
-4.2628654036414835,-4.48977595558224
-4.262965508422708,-4.488744855374307
-4.263065954993077,-4.487692946144526
-4.2631639811710285,-4.486640933376516
-4.263259579186485,-4.485588806458375
-4.263352784029887,-4.484536553021065
-4.263443623959495,-4.483484163690422
-4.263532874706319,-4.482431726962338
-4.263623951652263,-4.481379467437021
-4.263713045585089,-4.480327007811468
-4.263712666563681,-4.480326558434997
-4.263801048734213,-4.4792954584098
-4.2638930962438115,-4.47824334689208
-4.263894005463999,-4.478222187918216
-4.26389435895907,-4.478222210555535
-4.263984360586685,-4.477191296165849
-4.264073823624545,-4.476139072712204
-4.264165760577532,-4.475087052757946
-4.26416426315565,-4.475065943239832
-4.2642540588585085,-4.47403502156355
-4.26425493435956,-4.474013871820791
-4.264339554654944,-4.472982501032241
-4.264422758990141,-4.4719297549225745
-4.264504253569801,-4.470876887318565
-4.264502525490385,-4.470855718675922
-4.264582195964034,-4.469823965621954
-4.264581894387803,-4.469823612614832
-4.264581281394448,-4.469823585968635
-4.264659095871313,-4.468791546179666
-4.26473823739021,-4.46773843058987
-4.264817735035452,-4.466685426926261
-4.2648996731042805,-4.465632606439718
-4.264983691735771,-4.4645798777464725
-4.265067282600647,-4.463527213264759
-4.265149051569437,-4.462474396092966
-4.2652325365182575,-4.461421714917457
-4.265233358391358,-4.4614005970692805
-4.265312193627267,-4.460347733257963
-4.2653126242752295,-4.460326616495465
-4.265312308248741,-4.460326621068099
-4.265311988478753,-4.460326630269149
-4.265385147355703,-4.459294273439974
-4.2653840392255225,-4.459273151571377
-4.265454743006325,-4.458240759732914
-4.265523647507093,-4.457186991564046
-4.265590800359681,-4.456133113309385
-4.265589503021461,-4.456111950632083
-4.265589180410984,-4.4561119364903785
-4.265652576511849,-4.4550790783307255
-4.265652714727868,-4.455057885322535
-4.265713186069516,-4.4540247385244145
-4.2657756652241865,-4.452970567791089
-4.265840609309289,-4.45191653689954
-4.265907973534441,-4.450862660401175
-4.265977724248295,-4.449808941648638
-4.266049834436875,-4.448755383910707
-4.266124282401656,-4.447701990668929
