x,y
-4.261959598852738,-4.498209029913645
-4.262218689296931,-4.498189765303629
-4.262488700052113,-4.497164670901328
-4.262756541894157,-4.496137681158121
-4.263022112747471,-4.495111204381203
-4.263285427413227,-4.494085000750547
-4.263546497642499,-4.49305896692304
-4.263805333743389,-4.492033005441149
-4.264061944574848,-4.491007024367039
-4.2643163373664,-4.489980879505765
-4.264568517232094,-4.48895443089301
-4.26481848744668,-4.487927636679813
-4.265066250418119,-4.4869004640450205
-4.265311807834203,-4.485872887463664
-4.265555160785103,-4.484844887309617
-4.265796309871005,-4.483816448717446
-4.266035255295125,-4.482787560658727
-4.26627199694298,-4.481758215194532
-4.266506534449082,-4.4807284068718465
-4.266738867252436,-4.479698132236965
-4.266968994642221,-4.47866738944367
-4.267196915795015,-4.4776361779380105
-4.267422629804819,-4.47660449820486
-4.267646135707032,-4.475572351564214
-4.267867432497396,-4.474539740007525
-4.26808651914679,-4.473506666066209
-4.26830339461265,-4.472473132706018
-4.2685180578476665,-4.471439143242167
-4.268730507806292,-4.470404701271161
-4.268940743449525,-4.469369810616003
-4.269148763748337,-4.468334475282167
-4.269354567686059,-4.467298699422211
-4.2695581542599506,-4.46626248730733
-4.2697595224821745,-4.46522584330448
-4.2699586713803175,-4.464188771857988
-4.270155599997583,-4.463151277474758
-4.2703503073927545,-4.462113364712367
-4.270542792639999,-4.46107503816949
-4.270733054828571,-4.460036302478195
-4.270921093062452,-4.458997162297743
-4.271106906459967,-4.457957622309587
-4.271290494153383,-4.456917687213357
-4.271471855288525,-4.455877361723618
-4.271650989024406,-4.454836650567256
-4.271827894532876,-4.453795558481383
-4.2720025709983105,-4.452754090211631
-4.272175017617316,-4.451712250510784
-4.272345233598474,-4.450670044137676
-4.2725132181621115,-4.449627475856294
-4.2725143642572885,-4.4496062871159445
-4.272675224112884,-4.448583966550944
-4.272836171248771,-4.447540289172413
-4.27299485190322,-4.446496254692604
-4.273151272962524,-4.445451880867846
-4.273305438635604,-4.44440717332486
-4.273457352180587,-4.443362137236936
-4.273607016075538,-4.442316777676165
-4.273607880691331,-4.442295561732359
-4.273750716833438,-4.441270584415184
-4.273893301418799,-4.44022423821094
-4.274033608791245,-4.439177574579145
-4.27417164716177,-4.4381306112279635
-4.274307421652419,-4.437083353764071
-4.274440936258385,-4.436035807343133
-4.274572194058915,-4.434987977022455
-4.274701197398786,-4.433939867796623
-4.274827948035773,-4.4328914846129175
-4.274952447259602,-4.431842832382701
-4.2750746959877315,-4.43079391599024
-4.275194694842366,-4.429744740299541
-4.2753124442122985,-4.428695310159628
-4.2754279443025,-4.427645630408577
-4.275541195173831,-4.426595705876615
-4.2756521967748045,-4.425545541388462
-4.275760948966946,-4.424495141765099
-4.275867451545029,-4.423444511825088
-4.275971704253184,-4.422393656385558
-4.276073706797724,-4.421342580262919
-4.276173458857312,-4.42029128827339
-4.276270960091052,-4.419239785233366
