x,y
-4.262567464138765,-4.498461425165521
-4.262372079183314,-4.498479076105045
-4.262156866075481,-4.497446972622039
-4.261943637856746,-4.4964053168531635
-4.2617299360324274,-4.495368603041215
-4.26172874749746,-4.495345956327099
-4.261519917563078,-4.4943302003128265
-4.261309222066915,-4.493294103831068
-4.26109763794608,-4.492258483869273
-4.260888348051592,-4.491222436622049
-4.260681377770537,-4.4901862440538745
-4.2604767061213105,-4.4891497243453085
-4.260274317270303,-4.488112860623074
-4.26007419854838,-4.4870756402044965
-4.260072519025609,-4.48705439383612
-4.260073580445452,-4.487053985413778
-4.259883129708362,-4.486036472305947
-4.259692196996803,-4.484997719515202
-4.259502834490436,-4.483958729599203
-4.259311642134216,-4.482920073683267
-4.259122759280283,-4.481881014218664
-4.258936208385163,-4.480841548251002
-4.258751968732752,-4.4798016821135915
-4.258570023688065,-4.4787614217670315
-4.258390360074424,-4.477720772876124
-4.258212967505781,-4.47667974087657
-4.258213855689296,-4.476679252224441
-4.258041446079706,-4.475658797348201
-4.258038851961317,-4.475638771261938
-4.257866510936155,-4.474618303984357
-4.2576936976747035,-4.473576519634426
-4.257523176514642,-4.4725343491356115
-4.2573549347935336,-4.471491811211631
-4.257188963393043,-4.470448912211271
-4.257024562379119,-4.469405801617523
-4.256858251039833,-4.468362966287389
-4.256694231171221,-4.467319768653296
-4.256532531034086,-4.466276208834363
-4.256373134349382,-4.465232294757534
-4.256216027985404,-4.464188033686069
-4.256061201517621,-4.463143432353119
-4.2559086467093215,-4.462098497072259
-4.255758357087599,-4.461053233825947
-4.255609638452115,-4.460007782028493
-4.25545899372171,-4.458962575562346
-4.255310640630911,-4.457917040585778
-4.255308627039276,-4.45789608777342
-4.255162462197909,-4.456871581561014
-4.255016398137296,-4.45582572032885
-4.254872647767303,-4.4547795283924145
-4.254871626502282,-4.454758340124043
-4.254734745157194,-4.453732556807418
-4.254598196987473,-4.452685405366074
-4.254463952583796,-4.451637947110995
-4.254331998601163,-4.450590200353564
-4.2543312952722285,-4.450568976789149
-4.254205944297225,-4.449541727442342
-4.254205172640888,-4.449520514476102
-4.254082377885994,-4.448471846468617
-4.25395980032224,-4.4474229784643615
-4.253839554344971,-4.446373834802866
-4.2537216431561005,-4.445324425435335
-4.253606049526718,-4.444274758047556
-4.253492759620237,-4.443224839494925
-4.253381762430904,-4.442174676165912
-4.253273049235597,-4.441124274092914
-4.253166613147595,-4.440073639030768
-4.253061752974747,-4.439022881566605
-4.252954959992077,-4.437972288327612
-4.252850470316521,-4.436921462725739
-4.2527476175291055,-4.435870501065575
-4.252749825371534,-4.435849329254136
-4.25264899284116,-4.434819430671838
-4.252549303196077,-4.43376813947694
-4.25254887361798,-4.433746926308092
-4.252455339485046,-4.432716323362633
-4.252362336986897,-4.431664431567722
-4.252267487163521,-4.430612680008007
-4.2521750032483165,-4.429560718915055
-4.252084902337295,-4.428508551762823
-4.25208473910028,-4.428487327155445
-4.252000569286434,-4.427455919746839
-4.2519178228067105,-4.426403151179853
